chr	windowStart	windowEnd	D	f_d	f_dM	d_f
chr1	1991377	3907285	0.202972	0.113567	0.077405	0.165485
chr1	3983464	7881754	0.392599	0.146206	0.099077	0.324657
chr1	7939374	14729636	0.287234	0.131416	0.067020	0.224830
chr1	14730159	17618112	0.067916	0.037983	0.021525	0.049828
chr1	17620531	28185657	0.285057	0.112779	0.061139	0.234848
chr1	28261994	33329561	0.140061	0.089024	0.042385	0.130657
chr1	33365364	37680075	0.428571	0.250844	0.128714	0.351273
chr1	37681321	41874264	-0.043175	-0.020941	-0.010810	-0.047070
chr1	41946402	49849703	0.320236	0.131029	0.081469	0.223594
chr1	49873521	53138649	0.137031	0.079301	0.044556	0.095776
chr1	53272435	55273268	-0.165644	-0.065375	-0.036610	-0.123853
chr1	55278540	57099809	0.014545	0.005425	0.003225	0.009950
chr1	57101489	59816695	0.088025	0.042701	0.020101	0.062260
chr1	59822527	62727602	0.257768	0.124107	0.076177	0.192962
chr1	62727630	66137158	-0.301850	-0.191063	-0.090077	-0.220798
chr1	66201379	69920723	-0.328467	-0.205110	-0.085198	-0.251964
chr1	70080514	75246251	0.325421	0.136174	0.081488	0.261861
chr1	76395895	81168409	-0.013527	-0.005033	-0.002509	-0.010219
chr1	81178012	85651539	0.136364	0.071756	0.039568	0.091737
chr1	85658389	88948152	0.176000	0.084534	0.048279	0.129794
chr1	88949906	93271032	0.279688	0.075783	0.043970	0.236979
chr1	93504314	101006059	0.301941	0.095044	0.068729	0.275953
chr1	101052125	107553865	0.364893	0.219520	0.133621	0.267342
chr1	107583194	114687656	0.409992	0.195352	0.132717	0.321318
chr1	114699547	119281784	0.189465	0.087177	0.042980	0.119394
chr1	119523591	123084737	0.158573	0.062111	0.038570	0.116441
chr1	123095093	129474624	0.247796	0.095274	0.052566	0.159019
chr1	129508229	133468803	-0.102397	-0.063325	-0.029504	-0.073049
chr1	133760186	140948186	0.282313	0.114535	0.065277	0.161677
chr1	140948300	145645477	-0.116057	-0.067634	-0.035616	-0.081527
chr1	145671495	148827903	-0.032787	-0.024490	-0.012036	-0.043829
chr1	148831645	151746488	0.157791	0.090090	0.045191	0.119403
chr1	151786114	157461046	0.025837	0.016569	0.007171	0.017453
chr1	157518411	168002022	0.303783	0.122908	0.074310	0.263726
chr1	168044727	180749014	0.230570	0.120108	0.066377	0.163904
chr1	180749592	183849052	0.123777	0.069527	0.035392	0.099486
chr1	183849089	187342754	0.346337	0.150818	0.093226	0.238806
chr1	187343079	192757427	0.044741	0.022552	0.013991	0.030728
chr1	192819640	197353619	0.149425	0.066838	0.042290	0.125241
chr1	197821594	204696130	0.174092	0.064378	0.039584	0.171647
chr1	204707981	208017754	0.098266	0.056870	0.029152	0.076626
chr1	208071426	210130976	0.413575	0.251379	0.143581	0.325871
chr2	651873	4280680	0.255248	0.140839	0.085130	0.195373
chr2	4592691	6695230	0.397665	0.213272	0.115324	0.329890
chr2	6758544	10078353	0.335381	0.152716	0.084735	0.281478
chr2	10104996	15624038	0.173039	0.093042	0.043468	0.135821
chr2	15947318	24173131	0.377338	0.097250	0.065776	0.293712
chr2	24565706	30813818	-0.001100	-0.000422	-0.000221	0.007181
chr2	30825506	36523550	0.046520	0.018249	0.010175	0.031409
chr2	36541516	39457082	0.129521	0.061453	0.034417	0.124302
chr2	39457265	45396446	0.112369	0.055126	0.028310	0.088366
chr2	45518237	49131183	0.196803	0.086840	0.046746	0.116736
chr2	49131992	51907482	0.132413	0.113455	0.048912	0.095972
chr2	52026472	56052305	0.101463	0.047016	0.027347	0.074605
chr2	56077262	64213546	0.293961	0.114375	0.062271	0.201216
chr2	64219070	69072736	0.118692	0.035937	0.023958	0.096431
chr2	69200530	72950851	0.421657	0.162222	0.106056	0.343203
chr2	72953571	76231570	0.541176	0.301392	0.138676	0.356589
chr2	76238303	88804492	0.291209	0.123366	0.070638	0.200831
chr2	88805527	98381851	0.286404	0.096171	0.058158	0.186150
chr2	98393778	101802964	0.147929	0.060096	0.033051	0.110619
chr2	101997616	110854952	0.599795	0.216876	0.134419	0.473849
chr2	110890312	114621071	0.304577	0.173347	0.093362	0.214374
chr2	114650808	116264928	0.150000	0.068782	0.038393	0.090273
chr2	116266161	122530034	0.033907	0.017385	0.009128	0.028110
chr2	122534017	128622411	0.170157	0.065130	0.036218	0.135135
chr2	128709824	133567973	0.405273	0.184240	0.101604	0.307180
chr2	133596156	138558356	0.332027	0.194436	0.104452	0.229831
chr2	138567518	142075240	0.044104	0.020175	0.010699	0.033156
chr2	142088870	149326854	0.258671	0.120647	0.051789	0.178138
chr2	149482158	152036200	0.443966	0.174873	0.096702	0.314156
chr2	152065985	155626784	0.030273	0.014685	0.007259	0.023893
chr2	155827179	162472163	0.277266	0.135113	0.081429	0.212940
chr3	4610273	8367023	0.247215	0.115055	0.068666	0.169357
chr3	8410646	14230456	0.046643	0.028928	0.016159	0.038778
chr3	14493207	18785504	-0.090239	-0.024768	-0.014136	-0.072019
chr3	18792775	24259493	0.003397	0.001505	0.000734	-0.016240
chr3	24300840	27875748	0.208962	0.129977	0.053866	0.128914
chr3	27985505	33696444	-0.153527	-0.052801	-0.029153	-0.132143
chr3	33696546	35982869	0.201893	0.067893	0.045203	0.156131
chr3	36149990	42695993	0.128074	0.064868	0.037611	0.112075
chr3	42890046	45242741	0.265276	0.147107	0.086607	0.214976
chr3	45251309	48893389	0.014346	0.008861	0.003995	0.011281
chr3	49155287	52472181	0.087237	0.054969	0.025328	0.050512
chr3	52522538	56882486	0.244006	0.107453	0.061551	0.177686
chr3	57028958	58290928	0.043431	0.018240	0.011019	0.032787
chr3	58300879	62493917	0.405460	0.197538	0.108934	0.298915
chr3	62498883	66968626	-0.118619	-0.058419	-0.033510	-0.098686
chr3	66988385	73222755	0.298072	0.083423	0.051810	0.215158
chr3	73523577	77478941	0.094716	0.033433	0.015964	0.080313
chr3	77677788	84100406	0.103319	0.070449	0.034858	0.080745
chr3	84170373	87733912	0.321935	0.132034	0.072217	0.255968
chr3	87825866	98067309	0.159125	0.080983	0.038790	0.129368
chr3	98111245	106889173	0.227122	0.110649	0.056888	0.190138
chr3	107472973	113517085	0.265070	0.121073	0.067347	0.207753
chr3	113746770	116912902	0.348814	0.205105	0.113186	0.299005
chr3	116915204	121088219	-0.112513	-0.064226	-0.031374	-0.074982
chr3	121157173	123954053	0.351585	0.149632	0.099891	0.289100
chr4	2395481	9266764	0.264073	0.114077	0.072008	0.187735
chr4	9337519	16431352	0.042273	0.015828	0.009870	0.000587
chr4	16579333	21588179	-0.018437	-0.010911	-0.005873	-0.014268
chr4	21650480	28350030	0.317248	0.146135	0.080458	0.248719
chr4	28953724	33205062	0.293631	0.144280	0.080335	0.213697
chr4	33220896	41550533	0.099507	0.068633	0.036435	0.074923
chr4	41554340	47826466	0.333888	0.118481	0.070314	0.276743
chr4	47905921	52918682	0.378151	0.122802	0.071171	0.278351
chr4	52921691	60080008	0.163296	0.069479	0.035397	0.119024
chr4	60080328	68832574	0.121121	0.060259	0.028268	0.071170
chr4	68947689	71768857	0.110136	0.063014	0.034311	0.084842
chr4	72014759	80986859	0.208725	0.101019	0.052968	0.155624
chr5	2165210	3618544	-0.131732	-0.080731	-0.042220	-0.098574
chr5	3630222	5067811	0.064316	0.033096	0.017649	0.054685
chr5	5072066	8482800	0.433347	0.181325	0.113656	0.346475
chr5	8487321	11957958	0.088036	0.026985	0.016082	0.057437
chr5	11982950	14301057	0.111650	0.057995	0.034414	0.065913
chr5	14307089	17002859	-0.091481	-0.038769	-0.020854	-0.070693
chr5	17003645	24168842	0.077754	0.023696	0.013098	0.074380
chr5	24182510	29189287	0.021790	0.006016	0.003662	0.018338
chr5	29190577	39006201	0.383519	0.153750	0.082172	0.314963
chr5	39032210	43155454	-0.050403	-0.017495	-0.009434	-0.045492
chr5	43155847	50501392	0.240046	0.085391	0.048163	0.135820
chr5	50644830	57209457	0.341940	0.162386	0.094576	0.304726
chr5	57221166	62736211	0.165524	0.069835	0.041775	0.127933
chr5	62899047	67457972	0.108310	0.056696	0.030009	0.084180
chr5	67457981	69887476	0.238550	0.139353	0.067990	0.162198
chr6	791333	4917808	-0.003872	-0.001808	-0.000957	-0.003086
chr6	5004367	6859134	0.278360	0.176809	0.077423	0.180653
chr6	6893895	9020887	0.324178	0.217598	0.117532	0.229772
chr6	9038375	11594121	-0.090823	-0.044009	-0.022326	-0.043284
chr6	11594399	13576656	0.332310	0.183203	0.101858	0.275927
chr6	13695935	16168533	0.488121	0.244721	0.140898	0.300539
chr6	16168681	21087419	-0.009275	-0.004123	-0.002446	-0.009798
chr6	21202014	25351259	-0.121515	-0.098718	-0.045779	-0.054285
chr6	25385825	28304474	0.205823	0.127686	0.053247	0.155421
chr6	28311206	33321573	0.237864	0.205623	0.077008	0.177923
chr6	33737629	40363708	0.649872	0.244263	0.147753	0.564048
chr6	40375583	43059954	0.316395	0.109961	0.053830	0.233172
chr6	43274600	45219898	0.343023	0.185243	0.090690	0.257547
chr6	45239077	45848249	0.361543	0.287941	0.152910	0.224747
chr6	45848843	47886758	0.294118	0.169643	0.091947	0.163174
chr6	47889560	48502407	0.061453	0.051471	0.029233	0.028817
chr6	48523609	50571953	0.068505	0.042443	0.021949	0.056122
chr7	260642	1501569	-0.348073	-0.235520	-0.100147	-0.199740
chr7	1509658	3120148	0.072009	0.035449	0.017343	0.054274
chr7	3157599	4390475	-0.073214	-0.034842	-0.019050	-0.051572
chr7	4398082	6178016	0.283109	0.174658	0.089800	0.255373
chr7	6178374	10123051	-0.186913	-0.101455	-0.049805	-0.165383
chr7	10184122	15234766	0.310189	0.110647	0.068869	0.235334
chr7	15312896	21766188	0.319929	0.157062	0.074667	0.192870
chr7	21857888	26713792	0.356730	0.180150	0.101803	0.275218
chr7	26729284	32064211	0.081059	0.042525	0.023859	0.063144
chr7	32108843	34647245	0.361137	0.194808	0.120324	0.251701
chr7	34667562	36602582	-0.333595	-0.262817	-0.115672	-0.271625
chr7	36675443	40951386	0.317073	0.186634	0.088259	0.241203
chr7	40958239	44046047	0.064579	0.025005	0.014082	0.043883
chr7	44052954	45488745	-0.058696	-0.028808	-0.014919	-0.054459
chr7	45498483	46340857	0.320437	0.151146	0.085779	0.230428
chr8	572249	2422099	0.056298	0.029926	0.015409	0.041230
chr8	2434933	3252171	-0.047669	-0.037578	-0.015707	-0.035517
chr8	3280368	4495755	0.207530	0.126682	0.068278	0.164964
chr8	4523795	5723695	-0.137587	-0.058937	-0.033994	-0.119048
chr8	5779428	6500231	-0.269990	-0.247031	-0.083709	-0.185714
chr8	6501106	7514796	-0.009018	-0.005029	-0.002610	0.010586
chr8	7519248	8524617	0.234834	0.126616	0.063957	0.188119
chr8	8525834	10791169	0.029284	0.014696	0.008770	0.018921
chr8	10929175	16510364	0.161120	0.085506	0.039942	0.089637
chr8	16550837	22700538	0.388417	0.173508	0.102392	0.359063
chr8	23244515	30224286	0.309356	0.139005	0.083642	0.226068
chr8	30844515	34130326	-0.022997	-0.010879	-0.006958	-0.018405
chr8	34141854	34968387	0.447199	0.205053	0.147019	0.316273
chr8	35031345	36944908	-0.253345	-0.091447	-0.052869	-0.182149
chr8	36976876	38672070	0.126984	0.067797	0.037342	0.084158
chr8	38683705	40367027	0.283940	0.109928	0.062776	0.188902
chr8	40367801	41839871	0.324861	0.193518	0.113124	0.242155
chr9	510347	2779335	0.095923	0.049689	0.022032	0.065739
chr9	2780384	4744192	0.103858	0.058127	0.030091	0.078038
chr9	4782233	10597448	0.219871	0.086229	0.053221	0.183368
chr9	10619696	12646099	0.460916	0.154985	0.101253	0.354360
chr9	12682830	15164360	0.233922	0.110536	0.048748	0.208570
chr9	15252726	18428551	0.189216	0.085835	0.051072	0.126724
chr9	18441770	28780645	-0.021057	-0.008985	-0.005061	-0.017532
chr9	28866803	32028625	-0.114598	-0.041105	-0.022792	-0.076776
chr9	32071506	35624856	0.209244	0.093759	0.056006	0.191977
chr9	35629299	38499660	0.436921	0.257727	0.142725	0.359973
chr9	38500547	40110642	-0.222222	-0.139759	-0.071198	-0.156909
chr9	40120016	42861516	-0.059534	-0.035410	-0.017086	-0.040875
chr10	9578851	19244799	0.444357	0.183268	0.103636	0.297849
chr10	19247960	24422896	0.283951	0.129141	0.074162	0.219048
chr10	24630888	26416615	0.549333	0.268754	0.157955	0.451754
chr10	26445740	28129686	0.091633	0.060190	0.027824	0.069277
chr10	28564932	31299748	-0.117529	-0.041647	-0.022900	-0.067743
chr10	31302645	33974861	0.308484	0.179434	0.114252	0.242365
chr10	34078739	37007415	0.206655	0.091650	0.053333	0.173702
chr10	37062336	39653959	-0.265358	-0.115249	-0.060056	-0.219476
chr11	2995052	4007014	0.427140	0.227725	0.134480	0.323225
chr11	4007306	5155931	0.054761	0.026056	0.014607	0.039098
chr11	5163359	6548556	-0.000000	-0.000000	-0.000000	-0.000000
chr11	6590728	8028764	-0.119896	-0.068708	-0.036820	-0.083738
chr11	8081839	9816058	-0.269434	-0.164972	-0.076865	-0.194339
chr11	9953521	11355358	0.192138	0.102706	0.054970	0.141894
chr11	11408643	13864446	-0.096944	-0.049743	-0.019537	-0.070504
chr11	13969561	15561507	0.102770	0.061491	0.032894	0.085506
chr11	15572234	17587235	-0.212402	-0.150492	-0.061735	-0.168117
chr11	17588686	24770522	0.175698	0.079970	0.039641	0.140436
chr11	24928687	28087132	0.156436	0.074144	0.044060	0.113182
chr11	28096311	29594107	0.174987	0.105147	0.043955	0.123654
chr11	29595491	31109055	0.322795	0.193468	0.102348	0.257288
chr11	31116083	31938123	0.338933	0.193840	0.119742	0.246295
chr11	31938283	33984791	0.427396	0.333440	0.171650	0.348307
chr11	33985182	34956201	0.414939	0.243293	0.149080	0.318332
chr11	34958432	36597070	0.277695	0.137204	0.073017	0.222023
chr11	36610105	38748666	0.256904	0.157962	0.074741	0.206179
chr12	6288703	14497976	-0.046632	-0.017281	-0.009733	-0.035857
chr12	14527148	18290371	0.149525	0.071458	0.033681	0.113592
chr12	18290372	22605156	-0.063377	-0.035774	-0.016965	-0.049678
chr12	22619852	23829814	0.075546	0.023259	0.014785	0.056260
chr12	23830059	25892505	0.434269	0.144737	0.095353	0.311692
chr12	25973283	29384186	0.430699	0.175017	0.100950	0.320012
chr12	29401469	30904783	0.215354	0.103721	0.062455	0.148556
chr12	30904972	31810390	0.151456	0.065629	0.040046	0.097287
chr12	31858745	35242125	-0.050483	-0.016903	-0.009609	-0.036237
chr13	138827	3160294	0.347039	0.120149	0.069245	0.291266
