chr	windowStart	windowEnd	D	f_d	f_dM	d_f
chr1	1887525	2875739	0.200765	0.097872	0.064259	0.161290
chr1	2879489	4668181	0.146893	0.046572	0.031974	0.135048
chr1	4706046	6245993	0.230769	0.109375	0.060513	0.173222
chr1	6273834	7571086	0.162047	0.054157	0.037328	0.141869
chr1	7617865	8722971	0.515358	0.153032	0.101407	0.377853
chr1	8733141	12012974	0.449799	0.227027	0.146709	0.379661
chr1	12016451	14699034	0.259843	0.097601	0.057259	0.223881
chr1	14716989	16236622	0.524072	0.279804	0.195619	0.371707
chr1	16240237	17894754	0.076397	0.043152	0.021030	0.054963
chr1	17944570	22536417	0.359466	0.183508	0.090287	0.291639
chr1	22610852	24908620	0.026399	0.014023	0.007037	0.020678
chr1	24908624	27657566	0.378759	0.117951	0.077114	0.349713
chr1	27657867	29569908	0.030542	0.013246	0.007430	0.044679
chr1	29653436	32894843	0.108844	0.036050	0.021023	0.100000
chr1	32905465	35010552	0.425641	0.173127	0.094857	0.345833
chr1	35027728	37087146	0.475076	0.262704	0.147334	0.375704
chr1	37087332	38733288	0.091667	0.039675	0.023550	0.073333
chr1	38767094	40651671	0.523739	0.244686	0.166601	0.492329
chr1	40651799	43689727	0.484515	0.164258	0.106695	0.390508
chr1	43986120	48257355	0.284658	0.094286	0.061959	0.252560
chr1	48259894	50892971	0.182276	0.043833	0.031422	0.150566
chr1	50919515	52693132	-0.041989	-0.017846	-0.011645	-0.028998
chr1	52695406	53595726	0.023451	0.014499	0.007916	-0.007194
chr1	53605092	54807656	0.016873	0.007158	0.004016	0.015198
chr1	54843280	56174458	0.061307	0.026457	0.015719	0.050455
chr1	56175429	57525368	0.412796	0.113158	0.077838	0.331924
chr1	57571598	59212894	0.378099	0.150164	0.077417	0.333953
chr1	59218253	60690476	0.228033	0.077342	0.049347	0.199269
chr1	60715886	62194508	0.588194	0.287662	0.196741	0.550296
chr1	62232728	63663692	0.140255	0.067524	0.036026	0.130730
chr1	63667681	66856671	0.047535	0.015750	0.010414	0.040000
chr1	66881551	68434933	0.056180	0.031725	0.015113	0.062793
chr1	68453896	69973176	0.128440	0.056140	0.031472	0.097967
chr1	69976507	72171857	0.421373	0.187066	0.129035	0.381507
chr1	72304906	73404130	0.382282	0.191179	0.105610	0.330535
chr1	73488904	76549605	0.389764	0.152386	0.088393	0.337979
chr1	76628219	78922539	0.367717	0.169529	0.084000	0.314286
chr1	78922612	81043998	0.223582	0.081996	0.044740	0.187325
chr1	81044133	83152633	0.129564	0.036853	0.024878	0.115789
chr1	83152683	85241716	0.166016	0.066045	0.039953	0.131783
chr1	85258058	86920193	0.127202	0.060644	0.038134	0.117117
chr1	86957187	88981548	0.404162	0.130113	0.090834	0.314578
chr1	88985943	89881414	0.132603	0.044005	0.027493	0.112141
