chr	windowStart	windowEnd	D	f_d	f_dM	d_f
chr1	2101322	4549204	-0.364954	-0.167035	-0.097570	-0.274542
chr1	4717784	8089212	0.279983	0.069599	0.048621	0.222993
chr1	8103990	14730159	0.314655	0.099818	0.074498	0.255941
chr1	14749944	17414763	0.425532	0.234432	0.161507	0.330124
chr1	17431062	25154520	0.333979	0.128563	0.075550	0.247135
chr1	25239509	32102022	0.261236	0.077586	0.050875	0.167066
chr1	32111965	36645154	0.236162	0.083279	0.058138	0.169761
chr1	36647411	39041888	0.109570	0.048725	0.033268	0.080149
chr1	39095176	45004999	0.236322	0.103898	0.072205	0.192993
chr1	45074209	50726592	0.274914	0.091522	0.070244	0.244898
chr1	50868318	53454707	0.166232	0.087299	0.057928	0.119813
chr1	53454735	55273268	0.014249	0.005845	0.003750	0.012004
chr1	55273273	56971200	-0.124766	-0.059211	-0.035760	-0.104225
chr1	56982628	59829044	0.165753	0.053506	0.036545	0.122316
chr1	59829269	62727630	0.501799	0.200143	0.136805	0.400526
chr1	62915895	66887778	0.271698	0.101214	0.068370	0.232122
chr1	66890960	69859339	0.016003	0.007646	0.004924	0.013472
chr1	69860587	73996813	0.530676	0.220465	0.142496	0.394446
chr1	74202279	78866454	0.146465	0.070502	0.043984	0.137441
chr1	78866494	83618688	0.146135	0.054398	0.039070	0.121527
chr1	83618714	86780987	-0.030625	-0.014317	-0.009132	-0.022768
chr1	86885081	89821467	0.327991	0.113788	0.081103	0.251296
chr1	89881414	92698357	0.593090	0.139089	0.105088	0.456769
chr1	92906179	100433330	0.416244	0.189717	0.110256	0.363010
chr1	100494584	105771310	0.382365	0.207248	0.138573	0.290200
chr1	105771381	114926662	0.184547	0.043293	0.029555	0.135919
chr1	114953553	118858874	0.265779	0.105733	0.071370	0.212480
chr1	118982902	122579614	0.502213	0.201518	0.132050	0.453159
chr1	122621992	125146271	0.034063	0.013056	0.008021	0.038599
chr1	126116617	130624759	0.323467	0.162111	0.112965	0.253395
chr1	130905140	134118242	0.119205	0.044485	0.030673	0.078261
chr1	134118280	140327553	0.449144	0.152838	0.119228	0.357883
chr1	140446761	143945224	0.127084	0.043007	0.032451	0.084237
chr1	143948183	147192036	0.018966	0.007480	0.005311	0.016893
chr1	147244716	149318100	0.211409	0.100410	0.066991	0.162255
chr1	149318275	151948492	0.042755	0.021752	0.012882	0.033551
chr1	151951077	157402309	0.182458	0.103740	0.068024	0.120525
chr1	157408544	168287695	0.533246	0.243404	0.154670	0.456836
chr1	168338946	177803314	0.020458	0.009354	0.005565	0.016458
chr1	178670486	183416185	-0.227848	-0.104339	-0.063292	-0.203564
chr1	183460830	186836291	0.118684	0.034820	0.027389	0.101917
chr1	186923552	191858591	0.444317	0.186416	0.117558	0.352121
chr1	191969766	195485135	-0.130435	-0.045980	-0.030862	-0.083544
chr1	195490903	202290935	-0.099570	-0.043016	-0.026430	-0.066993
chr1	202618483	204672536	0.357624	0.182683	0.110351	0.309141
chr1	204684401	208314096	0.071019	0.040629	0.024997	0.050792
chr1	208330416	210393398	0.181016	0.089373	0.062144	0.148347
chr2	998969	5621600	0.348537	0.108886	0.075956	0.247059
chr2	5712081	8847678	0.441088	0.148449	0.097779	0.375562
chr2	9228848	13841265	0.126977	0.055374	0.037593	0.114827
chr2	14405246	17750269	0.229394	0.082324	0.053978	0.203524
chr2	17761620	24056057	0.340909	0.097968	0.060062	0.258845
chr2	24167003	28195810	0.324215	0.097294	0.074364	0.267344
chr2	28431123	33913377	0.261690	0.101921	0.067086	0.194646
chr2	33918354	36805881	0.301242	0.148925	0.090307	0.258513
chr2	36807128	37960305	0.404567	0.261487	0.182330	0.306852
chr2	37964070	41863858	0.155918	0.077782	0.046346	0.121778
chr2	41942084	45638193	0.382263	0.211387	0.143294	0.340725
chr2	45670173	49303908	0.350995	0.121433	0.087174	0.260036
chr2	49311601	52697494	0.037470	0.015575	0.010652	0.027426
chr2	52724385	56547101	0.022239	0.010460	0.006846	0.029593
chr2	56591441	63709495	0.546086	0.159280	0.115743	0.456480
chr2	63723616	68120176	0.316192	0.093116	0.064326	0.271472
chr2	68120358	72143919	0.180440	0.043371	0.027834	0.113241
chr2	72287885	76067921	0.317647	0.084936	0.068682	0.211318
chr2	76073425	88161624	0.406051	0.099746	0.080119	0.345061
chr2	88541265	96613733	0.148109	0.039042	0.027168	0.101815
chr2	96642683	100925191	0.245726	0.119130	0.071046	0.212121
chr2	100926665	108518235	-0.044541	-0.018127	-0.011993	-0.036247
chr2	108552696	112860926	0.337049	0.128933	0.088826	0.283146
chr2	112877535	114652932	0.326719	0.182568	0.119433	0.244813
chr2	114655859	115860422	0.325207	0.170659	0.103278	0.248514
chr2	115934571	119318627	0.396183	0.225309	0.141571	0.315077
chr2	119542371	126118015	0.281250	0.111111	0.062706	0.209981
chr2	126289804	129813809	0.335369	0.145863	0.099930	0.230769
chr2	129913861	136757079	0.113601	0.054254	0.035038	0.093038
chr2	137150791	139471967	0.196807	0.109228	0.080977	0.171454
chr2	139494709	143301721	0.250792	0.105289	0.074858	0.219563
chr2	143301734	149535147	0.420060	0.137071	0.104989	0.349678
chr2	149554052	153093647	0.536950	0.124357	0.100367	0.422805
chr2	153104998	156153160	-0.188623	-0.091870	-0.055814	-0.157303
chr2	156158165	163386408	0.192432	0.065340	0.045842	0.138776
chr3	4466506	9602980	0.252181	0.075886	0.054433	0.190700
chr3	10034782	13527517	0.179062	0.076240	0.055231	0.145255
chr3	13551577	17363481	0.136222	0.049892	0.034156	0.118053
chr3	17365420	22611169	0.351912	0.153043	0.099322	0.307462
chr3	22683408	25743365	0.134255	0.045987	0.032823	0.095146
chr3	25863992	29276105	0.593878	0.204080	0.153187	0.501259
chr3	29278931	31402948	0.768177	0.346524	0.238313	0.723320
chr3	31490577	34347512	0.436701	0.236173	0.146049	0.345514
chr3	34347534	37741392	0.320503	0.125461	0.083053	0.264952
chr3	38070344	43320020	0.468994	0.249723	0.151822	0.365385
chr3	43342993	44753959	-0.167665	-0.105528	-0.064240	-0.128993
chr3	44989185	47587423	0.323760	0.145782	0.088841	0.255214
chr3	47662296	51828449	0.163998	0.064975	0.044605	0.129231
chr3	51837285	54150710	0.381617	0.192806	0.131598	0.262941
chr3	54208460	57331427	0.224490	0.083564	0.054585	0.153187
chr3	57366620	59648659	0.364979	0.143549	0.099530	0.328897
chr3	59691483	64359781	-0.096341	-0.026127	-0.018142	-0.083385
chr3	64417071	69085021	0.255028	0.076861	0.055944	0.196721
chr3	69107333	75470219	0.295414	0.098118	0.060447	0.225761
chr3	75553581	77161909	0.125728	0.057279	0.034665	0.093995
chr3	77180272	84532444	-0.027416	-0.008838	-0.006084	-0.024010
chr3	84533714	87212970	0.051421	0.020507	0.012990	0.040236
